instancia - tempo custo 

att48 - 0.175 209320.0
berlin52 - 0.244 143721.0
brazil58 - 0.364 512361.0
dantzig42 - 0.107 12528.0
eil101 - 3.891 27525.5
eil51 - 0.276 10184.3
eil76 - 1.090 17976.0
gr48 - 0.213 102378.0
gr96 - 2.337 2097682.3
hk48 - 0.169 247926.0
kroA100 - 2.727 983128.0
kroB100 - 3.183 986008.0
kroC100 - 3.001 961324.0
kroD100 - 2.943 976965.0
kroE100 - 3.005 971266.0
lin105 - 2.637 603910.0
pr107 - 3.475 2026626.0
pr76 - 0.914 3455242.0
rat99 - 3.845 57986.0
rd100 - 2.856 340047.0
st70 - 0.795 20557.0
swiss42 - 0.104 22327.0
-
