instancia - tempo custo 

att48 - 0.196 209320.0
berlin52 - 0.266 143721.0
brazil58 - 0.348 512361.0
dantzig42 - 0.108 12528.0
eil101 - 3.711 27513.6
eil51 - 0.233 10184.3
eil76 - 1.121 17976.0
gr48 - 0.201 102378.0
gr96 - 2.289 2097170.0
hk48 - 0.195 247926.0
kroA100 - 2.959 983128.0
kroB100 - 2.895 986008.0
kroC100 - 2.609 961324.0
kroD100 - 2.984 976965.0
kroE100 - 3.033 971266.0
lin105 - 2.832 603910.0
pr107 - 3.337 2026626.0
pr76 - 0.919 3455242.0
rat99 - 3.799 57986.0
rd100 - 2.908 340047.0
st70 - 0.762 20557.0
swiss42 - 0.110 22327.0
-
