instancia - tempo custo 

a280 - 87.746 2579.0
att48 - 0.268 10628.0
bayg29 - 0.044 1610.0
bays29 - 0.046 2020.0
berlin52 - 0.333 7542.0
bier127 - 9.560 118282.0
brazil58 - 0.433 25395.0
brg180 - 10.003 1950.0
burma14 - 0.003 3323.0
ch130 - 10.254 6110.0
ch150 - 13.924 6528.0
d198 - 29.016 15780.0
dantzig42 - 0.153 699.0
eil101 - 3.813 629.0
eil51 - 0.333 426.0
eil76 - 1.393 538.0
fl417 - 373.466 11861.4
fri26 - 0.033 937.0
gil262 - 95.149 2378.6
gr120 - 8.526 6942.0
gr137 - 10.351 69853.0
gr17 - 0.007 2085.0
gr202 - 34.438 40160.0
gr21 - 0.014 2707.0
gr229 - 57.904 134612.6
gr24 - 0.025 1272.0
